Site Section,Sort Type,Template,Category,Site Section 2,Ad Type,Yard,Parking Type,heating,State,City,Zip,Seller Type,School District,Seller Accepts Texts,Photo Count,Year Built,Title,Previous URL,Acres,Square Feet,Newly Built,Seller ID,AD ID,Time Posted,Asking Price,Package Type,Exterior Material,cooling,Bathrooms,Bedrooms,Expire Date,Ad Status,Special Features,Floor Covering,Basement Type,Included Appliances,mls number,Listing ID
homes,not specified,detail page,apartment complex,for sale,for sale,not applicable,attached garage|combined garage|street parking|1 cars,other,ut,provo,84604,by owner,provo city,true,5,not specified,1378 N Freedom Blvd 1378 N Freedom Blvd|Provo|UT|84604,not specified,0,not specified,False,3525881,40315376,2019-03-22T12:14:20Z,427,select basic,not specified,air conditioning window,1,1,2019-09-22,active,hot tub|pool,carpet|tile,not specified,dryer|microwave|refrigerator|washer,not specified,40315376
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape front,attached garage|combined garage|driveway|street parking|3 cars,forced air,ut,herriman,84096,by agent,jordan,true,12,2018,13581 S Conie Bell Dr|Herriman|UT|84096,not specified,0.24,4041,False,39688,40315375,2019-03-22T12:12:16Z,552363,not specified,clapboardmasonite|other|stucco,central air,25,3,2019-09-22,active,deck|fireplace gas|sprinklers automatic|walkin closet,carpet|hardwood|tile,full unfinished,microwave|other|range,1555213,40315375
homes,not specified,detail page,single family home,for sale,for sale,fenced none,attached garage|combined garage|3 cars,forced air,ut,highland,84003,by agent,alpine,true,2,2019,6059 Chamberry|Highland|UT|84003,not specified,0.35,3600,False,2745814,40315373,2019-03-22T11:59:04Z,539900,not specified,not specified,central air,15,3,2019-09-22,active,not specified,not specified,full unfinished,not specified,1509135,40315373
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|2 cars,forced air,ut,orem,84058,by agent,alpine,true,26,1991,810 S 1680 W|Orem|UT|84058,not specified,0.26,2120,False,480036,40315371,2019-03-22T11:49:56Z,329900,not specified,brick|stucco,central air,3,4,2019-09-22,active,patio covered|sprinklers automatic,carpet|hardwood|linoleum|tile,full finished,microwave|range,1588033,40315371
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,combined garage|detached garage|1 cars,forced air,ut,salt lake city,84109,by agent,granite,false,27,1951,2964 E 3135 S|Salt Lake City|UT|84109,not specified,0.22,2260,False,2609439,40315370,2019-03-22T11:45:50Z,489000,not specified,brick|other,central air,2,4,2019-09-22,active,not specified,carpet|hardwood|laminate|linoleum|tile,full finished,dryer|other|range|refrigerator|washer,1588185,40315370
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|6 cars,forced air,ut,west jordan,84081,by agent,jordan,false,29,2010,8938 S Swan Ridge Way|West Jordan|UT|84081,not specified,0.28,3284,False,76172,40315369,2019-03-22T11:39:51Z,472500,not specified,stucco,central air,2,3,2019-09-22,active,fireplace gas|walkin closet,carpet|tile,full unfinished,microwave|range|refrigerator,1588173,40315369
homes,not specified,detail page,townhouse/condo,for sale,for sale,not applicable,attached garage|1 cars,forced air,ut,west jordan,84084,by agent,jordan,true,6,2000,7112 Kristylin Ln|West Jordan|UT|84084,not specified,0,1411,False,731287,40315368,2019-03-22T11:33:43Z,244995,not specified,not specified,central air,25,2,2019-09-22,active,fireplace gas|pool|walkin closet,carpet|hardwood|linoleum,not specified,not specified,1585424,40315368
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,carport|1 cars,forced air,ut,west valley city,84119,by agent,granite,false,13,1979,4126 S Sunnypark Ln|West Valley City|UT|84119,not specified,0.03,1680,False,2609439,40315367,2019-03-22T11:27:42Z,229900,not specified,other,central air,2,4,2019-09-22,active,fireplace other,carpet|other|tile,full unfinished,microwave|other|range|refrigerator,1588183,40315367
homes,not specified,detail page,single family home,for sale,for sale,not applicable,none,other,id,island park,83429,by owner,not specified,false,4,2009,Shadow Ridge|Island Park|ID|83429,not specified,2.65,1,False,925853,30724710,2019-03-22T11:20:32Z,99000,select basic,not specified,other,1,not specified,2019-09-22,active,not specified,not specified,not specified,not specified,not specified,30724710
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|2 cars,other,ut,herriman,84096,by agent,jordan,false,14,2015,4917 W Yellow Topaz Dr # 40|Herriman|UT|84096,not specified,0.08,2818,False,516298,40315363,2019-03-22T11:19:39Z,350000,not specified,brick|other|stucco,central air,25,4,2019-09-22,active,sprinklers automatic|walkin closet,carpet|laminate|tile,full unfinished,microwave|other|range,1587836,40315363
homes,not specified,detail page,single family home,for sale,for sale,landscape none,attached garage|combined garage|3 cars,forced air,id,rigby,83442,by owner,jefferson county,true,5,2018,166N 4100E|Rigby|ID|83442,not specified,0.6,1630,False,925853,40294386,2019-03-22T11:17:11Z,279900,select basic,aluminumvinyl|brick,central air,2,3,2019-09-22,active,fireplace gas|walkin closet,carpet|hardwood|laminate|tile,full unfinished,microwave|other|range|refrigerator,not specified,40294386
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape back|landscape front,attached garage|combined garage|2 cars,forced air,ut,vernal,84078,by owner,uintah,true,27,2003,630 N 3000 W|Vernal|UT|84078,not specified,1.28,2216,False,3120002,40305378,2019-03-22T11:09:20Z,285000,select basic,aluminumvinyl|brick,central air,2,4,2019-09-22,active,security system|sprinklers automatic|walkin closet,carpet|other|tile,shelfcrawl space,dryer|microwave|range|refrigerator|washer,not specified,40305378
homes,not specified,detail page,single family home,for sale,for sale,landscape full,carport|other|1 cars,forced air,ut,ogden,84401,by agent,weber,true,12,1967,212 Ogden Cyn|Ogden|UT|84401,not specified,0.14,899,False,2110523,40315360,2019-03-22T11:08:42Z,185000,not specified,brick,none,1,2,2019-09-22,active,fireplace gas|patio uncovered|sprinklers automatic,carpet|laminate|tile,shelfcrawl space,dryer|microwave|range|refrigerator|washer,1588083,40315360
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|driveway|other|2 cars,forced air,ut,holladay,84117,by owner,granite,true,11,1957,2981 E 4505 S|Holladay|UT|84117,not specified,0.26,1396,False,3526955,40315359,2019-03-22T11:04:41Z,532000,select basic,aluminumvinyl|brick,evaporative cooler roof,25,4,2019-09-22,active,fireplace woodburning|patio uncovered|sprinklers automatic,carpet|hardwood|laminate,full partially finished,dryer|microwave|range|refrigerator|washer,not specified,40315359
homes,not specified,detail page,single family home,for sale,for sale,not specified,not specified,not specified,ut,st george,84790,by agent,not specified,false,1,not specified,3216 E. Holly Dr|St George|UT|84790,not specified,not specified,3709,True,3415305,40306922,2019-03-22T11:01:14Z,508900,not specified,not specified,not specified,35,5,2019-08-11,active,not specified,not specified,not specified,not specified,not specified,40306922
homes,not specified,detail page,townhouse/condo,for sale,for sale,not specified,attached garage|2 cars,not specified,ut,south jordan,84009,by agent,not specified,false,10,2019,6368 W Sugarcane Dr.|South Jordan|UT|84009,not specified,not specified,1602,True,2490499,40302270,2019-03-22T10:56:56Z,279900,not specified,not specified,not specified,25,3,2019-07-18,active,not specified,not specified,not specified,not specified,not specified,40302270
homes,not specified,detail page,townhouse/condo,for sale,for sale,not specified,attached garage|2 cars,not specified,ut,south jordan,84095,by agent,not specified,false,25,2019,6377 W Birch Run Rd.|South Jordan|UT|84095,not specified,not specified,1337,True,2490499,40302268,2019-03-22T10:52:38Z,256900,not specified,not specified,not specified,2,3,2019-07-18,active,not specified,not specified,not specified,not specified,not specified,40302268
homes,not specified,detail page,single family home,for sale,for sale,landscape full,combined garage|detached garage|driveway|1 cars,forced air,ut,salt lake city,84103,by owner,salt lake city,true,2,1938,449 N Westcapitol St|Salt Lake City|UT|84103,not specified,5663,1010,False,236176,40315357,2019-03-22T10:51:13Z,425000,select basic,brick,central air,1,3,2019-09-22,active,fireplace other|patio uncovered|sprinklers automatic,carpet|hardwood|laminate,full partially finished,not specified,not specified,40315357
homes,not specified,detail page,single family home,for sale,for sale,not specified,attached garage|3 cars,not specified,ut,riverdale,84405,by agent,not specified,false,14,2019,1342 W Autumn Brook Lane|Riverdale|UT|84405,not specified,not specified,1580,True,3256117,40298110,2019-03-22T10:48:20Z,322341,not specified,not specified,not specified,2,3,2019-06-25,active,not specified,not specified,not specified,not specified,not specified,40298110
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|driveway|street parking|2 cars,forced air,ut,lehi,84043,by agent,alpine,true,34,2003,1953 W 1400 N|Lehi|UT|84043,not specified,0.21,2381,False,3526861,40315356,2019-03-22T10:46:39Z,375000,not specified,stucco,central air,3,4,2019-09-22,active,deck|patio uncovered,carpet|hardwood|linoleum,full finished,microwave|range|refrigerator,1588099,40315356
homes,not specified,detail page,single family home,for sale,for sale,landscape full,attached garage|3 cars,forced air,ut,cedar city,84720,by owner,iron,false,20,2015,927 S 4375 W|Cedar City|UT|84720,not specified,0.5,3300,False,2752974,40315354,2019-03-22T10:44:49Z,394900,select basic,stucco,central air,3,6,2019-09-22,active,fireplace gas|patio covered|sprinklers automatic|walkin closet,carpet|tile,full partially finished,microwave|range,not specified,40315354
homes,not specified,detail page,single family home,for sale,for sale,not specified,attached garage|3 cars,not specified,ut,south jordan,84009,by agent,not specified,false,43,2019,10866 S. Porcini Dr.|South Jordan|UT|84009,not specified,not specified,3065,True,2490499,40311848,2019-03-22T10:44:02Z,609900,not specified,not specified,not specified,25,4,2019-09-06,active,not specified,not specified,not specified,not specified,not specified,40311848
homes,not specified,detail page,townhouse/condo,for sale,for sale,fenced partial|landscape full,other,forced air,ut,payson,84651,by owner,not specified,true,21,2004,279 E 950 S|Payson|UT|84651,not specified,0,1070,False,2267817,40315353,2019-03-22T10:43:36Z,182500,select basic,not specified,central air,15,2,2019-09-22,active,not specified,not specified,not specified,not specified,not specified,40315353
homes,not specified,detail page,single family home,for sale,for sale,not specified,attached garage|3 cars,not specified,ut,south jordan,84009,by agent,not specified,false,81,2019,10848 S. Porcini Dr.|South Jordan|UT|84009,not specified,not specified,4520,True,2490499,40311847,2019-03-22T10:39:44Z,569900,not specified,not specified,not specified,4,5,2019-09-06,active,not specified,not specified,not specified,not specified,not specified,40311847
homes,not specified,detail page,single family home,for sale,for sale,fenced partial|landscape full,attached garage|combined garage|3 cars,forced air,ut,washington,84780,by agent,washington,true,32,2012,4438 S Cattail Way|Washington|UT|84780,not specified,0.24,3159,False,934718,40315352,2019-03-22T10:38:42Z,483000,not specified,not specified,central air,3,4,2019-09-22,active,fireplace gas|patio covered|security system|sprinklers automatic|walkin closet,not specified,not specified,not specified,19-202219,40315352
